Cases,medianIncome,youthUnemployment2013,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,foreignBorn,reportedCrimeVandalism,youngUnskilled,population,populationShare65plus,refugees
192,2,251849,4.0,4.4,-0.3,842,9.7,54.8,362,99.9,28.4,19.0,7.7,68145,15.4,9.3
193,2,237650,3.3,4.2,0.2,1182,11.4,69.9,1499,100.0,33.0,18.0,5.9,72740,16.0,7.0
194,0,169557,8.0,8.0,0.0,539,-5.0,26.9,6069,46.7,11.5,7.7,10.5,2595,26.8,158.6
195,0,199877,7.8,4.9,-0.8,717,-2.6,31.0,1125,77.7,9.7,11.6,12.0,8928,29.6,6.0
196,1,234158,6.6,4.7,-0.2,569,4.6,46.5,460,88.9,14.8,12.8,7.6,22672,18.7,5.8
197,0,227264,6.1,3.8,-1.1,634,5.4,38.1,496,73.7,11.0,9.1,8.2,24932,18.6,8.4
198,12,234360,4.2,5.4,0.1,1776,10.8,61.4,10,100.0,28.5,32.3,6.5,897700,14.3,15.9
199,0,181928,15.0,12.0,-2.6,605,-5.7,21.5,411,60.7,16.9,9.9,14.8,4131,25.7,65.5
200,0,171871,12.8,7.4,-1.0,1276,-5.6,29.3,2453,56.5,7.1,8.0,6.5,5954,27.7,15.7
201,2,219111,8.9,6.7,-0.3,976,5.3,36.1,554,76.2,14.9,17.7,12.7,33389,21.3,10.1
202,0,190158,4.9,3.8,-0.6,962,7.5,28.2,1004,62.3,28.4,12.0,13.4,12480,21.7,11.5
203,0,170828,15.4,11.2,-1.7,818,-4.4,24.1,3437,55.7,11.4,7.3,7.9,11984,27.9,39.0
204,2,223160,6.0,6.8,1.1,1384,18.1,52.9,421,100.0,34.2,17.9,9.0,42626,13.1,24.1
205,1,205001,12.0,8.5,-1.2,1088,2.1,38.4,224,84.1,11.9,20.2,9.7,96978,20.8,16.9
206,0,181436,9.5,6.4,-1.7,607,-3.4,29.7,744,47.9,7.9,7.5,8.2,13011,23.4,2.6
207,0,195314,14.7,8.4,-1.0,722,-2.3,21.6,1502,92.1,19.2,11.4,14.0,9834,24.3,34.8
208,0,197168,10.5,8.2,1.0,1065,1.1,29.8,844,67.9,16.2,12.4,11.2,13332,18.8,18.3
209,2,228107,8.3,5.3,-0.1,404,3.5,36.0,651,84.0,11.2,8.8,9.2,20067,17.0,4.8
210,0,191773,7.2,5.1,-1.4,757,-0.1,20.8,186,59.9,14.0,7.3,15.8,10299,23.6,26.0
211,0,177655,14.5,9.4,-0.7,622,-3.2,26.9,201,64.3,10.4,7.8,8.4,15276,26.7,17.9
212,0,200005,6.4,5.2,-0.4,947,-0.8,29.0,1821,62.1,6.7,8.3,10.3,10873,23.2,20.7
213,1,192532,6.6,6.5,-0.6,820,0.8,25.7,592,74.1,17.0,8.3,10.1,10969,22.8,46.2
214,0,180575,13.3,10.4,-2.2,1211,-2.1,25.7,1064,76.2,10.3,11.3,11.3,25442,25.9,35.0
215,0,204739,7.7,5.7,-0.4,535,1.7,32.1,894,61.1,6.1,7.2,10.8,14195,22.6,10.5
216,1,195145,9.3,11.3,1.3,1461,7.5,32.9,320,91.0,43.3,21.6,16.9,91072,16.0,77.3
217,0,186399,16.9,9.6,-0.3,714,-0.2,29.3,503,76.6,13.3,8.6,10.3,16800,24.8,8.8
218,0,189453,6.2,4.8,-0.9,675,0.3,29.7,911,40.8,12.0,8.1,12.0,12303,26.2,8.5
219,0,187438,11.9,8.6,-2.4,809,0.9,24.8,434,81.0,14.2,7.8,9.1,10754,23.9,33.3
220,0,190956,8.9,6.8,-2.6,1289,-1.0,23.4,62,70.4,9.8,9.7,9.4,12565,22.8,6.7
221,0,188370,12.8,8.0,-0.9,943,0.0,23.4,607,64.9,10.9,13.4,12.6,20144,23.5,14.8
222,0,197551,13.0,10.2,-1.2,958,0.5,27.3,894,80.8,10.4,9.6,11.9,18062,21.7,29.7
223,0,182323,11.6,7.5,0.4,642,-2.8,26.7,1896,62.4,13.5,8.5,10.5,12156,27.4,33.2
224,0,216970,4.3,3.5,-0.6,399,0.6,37.8,708,58.9,8.3,7.5,8.1,15050,24.4,1.8
